Song Title,Artist,SBP Song Name,Key,Lead Vocals,Dale Guitar,Feel,Crowd Knows,Discriminator #1,Discriminator #2,Club Rating,BPM,Runtime,Popularity,Danceability,Energy
7 & 7,Turnpike Troubadours,7 & 7 (-1),Ab,Dale,Acoustic,Up,No,Red Dirt,"Swing, Set Starter",3,191,4:50,66,40,80
All My Rowdy Friends Have Settled Down,Hank Williams Jr.,All My Rowdy Friends Have Settled Down,C,Geed,Acoustic,,,Classic Country,,,127,4:00,65,71,54
BETTER OFF WRONG,Randy Rogers Band,Better Off Wrong,D,Dale,Electric,Up,No,Red Dirt,Set Starter,5,114,4:26,33,55,84
CASTANETS ,Reckless Kelly,Castanets,A,Dale,Electric,Up,No,Red Dirt,Set Ender,7,140,4:46,16,48,92
Cheatin Songs,Midland,Cheatin Songs,E,Merrill,Electric,,,Contemporary,,,110,3:35,67,72,72
CHICKEN FRIED,Zac Brown Band,Chicken Fried,G,Dale,Acoustic,Up,Yes,Contemporary,,3,170,3:58,85,57,71
Coast +4,Shane Smith & the Saints,Coast +4,B,Dale,Acoustic,,,Red Dirt,Set Starter,,163,3:49,54,39,69
COPPERHEAD RD,Steve Earle,Copperhead Road,D,Dale,Electric,Up,Yes,Contemporary,Line Dance,1,163,4:30,74,37,59
Devil Always Made Me Think Twice,Chris Stapleton,Devil Always Made Me Think Twice,G,Geed,Electric,,,Contemporary,,,122,3:52,74,73,69
DRINK IN MY HAND,Eric Church,Drink In My Hand (C),C,Dale,Electric,Mid,Yes,Contemporary,Line Dance,3,113,3:11,77,63,91
DRINKING PROBLEM,Midland,Drinkin Problem,A,Dale,Acoustic,Mid,Yes,Contemporary,Couples Dance,1,102,3:41,81,62,76
EL CERRITO PLACE,Charlie Robison,El Cerrito Place,D,Dale,Electric,Slow,Yes,Contemporary,Couples Dance,3,130,5:41,47,61,34
EVERYTHING I LOVE,Morgan Wallen,Everything I Love (+1),G#,Dale,Electric,,,Contemporary,Set Ender,,104,3:07,74,57,84
FAST AS YOU,Dwight Yoakam,Fast As You,E,Dale,Either,Up,Yes,Classic Country,"Line Dance, Set Ender",3,126,4:48,69,63,80
FEET DON'T TOUCH THE GROUND,Stoney Larue,Feet Dont Touch The Ground,G,Dale,Acoustic,Slow,No,Red Dirt,Couples Dance,5,64,4:09,56,45,38
FIGHTIN FOR     ,Cross Canadian Ragweed,Fightin For,A,Dale,Electric,Mid,No,Red Dirt,,9,108,3:21,42,64,74
FOLSOM PRISON BLUES,Johnny Cash,Folsom Prison Blues,E,Dale,Acoustic,Up,Yes,Classic Country,"Line Dance, Set Ender",3,111,2:36,70,69,53
FREE AND EASY DOWN THE ROAD,Dierks Bently,Free And Easy Down The Road,G,Dale,Electric,Up,Yes,Contemporary,"Set Starter, Set Ender",1,120,3:20,69,58,78
