ID,Song Title,Artist,Rank,Key,Lead Vocals,Dale Guitar,Feel,Crowd Knows,Discriminator #1,Discriminator #2,Club Rating,SBP Song Name
1,7 & 7,Turnpike Troubadours,1,Ab,Dale,Acoustic,Up,No,Red Dirt,Swing,3,
65,AIN'T LIVIN' LONG LIKE THIS,Waylon,3,G,Dale,Acoustic,Up,Yes,Classic Country,Dormant,,
3,AMARILLO HIGHWAY,,,,John,Either,Up,No,Red Dirt,Swing,3,
66,ANGEL FROM MONTGOMERY,Prine,3,G,Dale,Acoustic,Slow,Yes,Classic Country,Dormant,,
67,ARE THE GOOD TIMES REALLY OVER,Merle,3,D,Dale,Acoustic,Waltz,Yes,Classic Country,Dormant,,
30,ARE YOU SURE HANK DONE IT THIS WAY         ,Waylon,2,C,Dale,Electric,Mid,Yes,Classic Country,,7,
7,BEAUTIFUL WRECK,Shawn Mullins,,A,John,Acoustic,Up,No,Red Dirt,,7,
32,BETTER OFF WRONG,Randy Rogers Band,2,D,Dale,Electric,Up,No,Red Dirt,Set Starter,5,
33,BIG GREEN TRACTOR,Jason Aldean,2,E,Dale,Electric,Slow,Yes,Contemporary,Couples Dance,3,
10,BORN ON THE BAYOU,,,,John,Either,Up,Yes,Rock,,7,
34,BREAK MY HEART TONIGHT,Reckless Kelly,2,G,Dale,Electric,Mid,No,Red Dirt,,7,
68,CADILLAC COWBOY                   ,Chris Ledoux,3,G,Dale,Acoustic,Up,Yes,Classic Country,Swing,5,
69,CALL ME THE BREEZE,Skynyrd,3,A ,Dale,Electric,Up,Yes,Rock,,9,
35,CASTANETS ,Reckless Kelly,2,A,Dale,Electric,Up,No,Red Dirt,,7,
36,CHICKEN FRIED,Zac Brown Band,2,G,Dale,Acoustic,Up,Yes,Contemporary,,3,
70,COCAINE BLUES,Johnny Cash,3,Dd,Dale,Acoustic,Up,No,Classic Country,Dormant,,
2,COPPERHEAD RD,Steve Earle,1,D,Dale,Electric,Up,Yes,Contemporary,Line Dance,1,
37,COWBOY RIDES AWAY,George Strait,2,G,Dale,Acoustic,Slow,Yes,Classic Country,Couples Dance,3,
